"last_name, first_name","player_id","year","on_base_plus_slg","xbadiff","xslgdiff","wobadiff"
"Brennan, Will","686823","2023","0.655","-0.020","-0.022","-0.020"
"Wiemer Jr., Joey","686894","2023","0.645","-0.005","-0.008","-0.005"
"Neto, Zach","687263","2023","0.685","-0.001","-0.026","-0.010"
"Walker, Jordan","691023","2023","0.787",".009",".019",".009"
"Yoshida, Masataka","807799","2023","0.783",".016",".020",".014"
"Blackmon, Charlie","453568","2024","0.741",".007",".047",".017"
"Solano, Donovan","456781","2024","0.760",".029",".039",".026"
"McCutchen, Andrew","457705","2024","0.739",".005","-0.010","-0.002"
"Turner, Justin","457759","2024","0.737",".007",".000","-0.001"
"Santana, Carlos","467793","2024","0.748","-0.008",".005","-0.004"
"Rojas, Miguel","500743","2024","0.747",".000",".045",".013"
"Pham, Tommy","502054","2024","0.673","-0.015","-0.039","-0.022"
"Martinez, J.D.","502110","2024","0.726","-0.021","-0.066","-0.033"
"Goldschmidt, Paul","502671","2024","0.716","-0.010","-0.036","-0.019"
"Altuve, Jose","514888","2024","0.789",".033",".040",".028"
"Marte, Starling","516782","2024","0.715","-0.018","-0.037","-0.024"
"d'Arnaud, Travis","518595","2024","0.738",".002",".002","-0.003"
"Freeman, Freddie","518692","2024","0.854",".004",".010","-0.002"
"Rizzo, Anthony","519203","2024","0.636","-0.012","-0.005","-0.012"
"Stanton, Giancarlo","519317","2024","0.773","-0.016","-0.034","-0.022"
"Perez, Salvador","521692","2024","0.786","-0.004","-0.066","-0.025"
"Ozuna, Marcell","542303","2024","0.924",".015","-0.027","-0.007"
"Semien, Marcus","543760","2024","0.699","-0.014",".000","-0.007"
"Springer III, George","543807","2024","0.674","-0.024","-0.031","-0.024"
"Vázquez, Christian","543877","2024","0.575","-0.013","-0.024","-0.017"
"Vargas, Ildemaro","545121","2024","0.611","-0.009","-0.006","-0.009"
"Harper, Bryce","547180","2024","0.898",".018",".051",".023"
"Díaz, Elias","553869","2024","0.695",".023",".039",".023"
"Suárez, Eugenio","553993","2024","0.788",".009",".022",".007"
"Urshela, Gio","570482","2024","0.647","-0.014","-0.028","-0.021"
"Arenado, Nolan","571448","2024","0.719",".017",".038",".018"
"Haniger, Mitch","571745","2024","0.620","-0.008","-0.030","-0.015"
"Hernández, Enrique","571771","2024","0.654","-0.004",".011",".000"
"Singleton, Jon","572138","2024","0.707",".006",".004",".002"
"Taylor, Michael A.","572191","2024","0.543","-0.011","-0.043","-0.028"
"Walker, Christian","572233","2024","0.803",".005",".011","-0.008"
"Yastrzemski, Mike","573262","2024","0.739",".012",".040",".018"
"Contreras, Willson","575929","2024","0.848",".004",".013",".005"
"Canha, Mark","592192","2024","0.690",".030",".040",".022"
"Castellanos, Nick","592206","2024","0.742","-0.017","-0.010","-0.012"
"Drury, Brandon","592273","2024","0.470","-0.033","-0.059","-0.042"
"Judge, Aaron","592450","2024","1.159",".012","-0.022","-0.003"
"Machado, Manny","592518","2024","0.797",".003",".011",".002"
"Pederson, Joc","592626","2024","0.908",".011",".035",".013"
"Realmuto, J.T.","592663","2024","0.751","-0.002","-0.030","-0.013"
"Renfroe, Hunter","592669","2024","0.689",".006",".030",".011"
"Rosario, Eddie","592696","2024","0.531","-0.036","-0.024","-0.027"
"Yelich, Christian","592885","2024","0.910",".021",".033",".018"
"Merrifield, Whit","593160","2024","0.625","-0.020","-0.003","-0.012"
"Bogaerts, Xander","593428","2024","0.688",".002","-0.001","-0.005"
"Polanco, Jorge","593871","2024","0.653","-0.012","-0.043","-0.021"
"Duvall, Adam","594807","2024","0.568","-0.015","-0.064","-0.031"
"Profar, Jurickson","595777","2024","0.839","-0.002",".015",".001"
"Cave, Jake","595909","2024","0.686",".018",".039",".018"
"Lindor, Francisco","596019","2024","0.844","-0.010","-0.028","-0.016"
"Kepler, Max","596146","2024","0.682",".006","-0.001","-0.003"
"Candelario, Jeimer","600869","2024","0.708",".004",".065",".024"
"Urías, Ramón","602104","2024","0.745",".006","-0.006","-0.003"
"Bell, Josh","605137","2024","0.724",".010",".009",".007"
"Betts, Mookie","605141","2024","0.863",".007",".044",".015"
"Arcia, Orlando","606115","2024","0.625",".012",".031",".012"
"Hernández, Teoscar","606192","2024","0.840",".022",".015",".014"
"Marte, Ketel","606466","2024","0.932","-0.002",".022","-0.001"
"Nimmo, Brandon","607043","2024","0.726","-0.020","-0.009","-0.014"
"Turner, Trea","607208","2024","0.807",".031",".050",".031"
"Pillar, Kevin","607680","2024","0.668",".008",".048",".018"
"Ramírez, José","608070","2024","0.872",".020",".084",".035"
"Bregman, Alex","608324","2024","0.768",".003",".036",".012"
"Kelly, Carson","608348","2024","0.687",".003","-0.027","-0.010"
"Seager, Corey","608369","2024","0.865","-0.011","-0.049","-0.025"
"Winker, Jesse","608385","2024","0.765",".008",".021",".009"
"Refsnyder, Rob","608701","2024","0.830",".031",".059",".032"
"Meneses, Joey","608841","2024","0.593",".008","-0.024","-0.011"
"Andujar, Miguel","609280","2024","0.697",".020",".034",".020"
"Swanson, Dansby","621020","2024","0.702","-0.002","-0.026","-0.014"
"Newman, Kevin","621028","2024","0.686",".022",".052",".027"
"Correa, Carlos","621043","2024","0.905",".032",".062",".027"
"Taylor, Tyrone","621438","2024","0.700","-0.001",".012",".003"
"Buxton, Byron","621439","2024","0.859",".015",".022",".013"
"Ward, Taylor","621493","2024","0.749","-0.005","-0.032","-0.019"
"Olson, Matt","621566","2024","0.790",".000",".009","-0.002"
"Margot, Manuel","622534","2024","0.626","-0.023","-0.042","-0.032"
"Santander, Anthony","623993","2024","0.814",".007",".061",".021"
"Alonso, Pete","624413","2024","0.788","-0.002","-0.002","-0.003"
"Conforto, Michael","624424","2024","0.759","-0.020","-0.029","-0.023"
"Soler, Jorge","624585","2024","0.780","-0.003","-0.005","-0.006"
"Cronenworth, Jake","630105","2024","0.714","-0.018","-0.030","-0.020"
"Bauers, Jake","641343","2024","0.662","-0.002","-0.018","-0.008"
"Bellinger, Cody","641355","2024","0.751",".024",".035",".021"
"Crawford, J.P.","641487","2024","0.625","-0.025","-0.042","-0.026"
"Fraley, Jake","641584","2024","0.716",".032",".063",".029"
"Garver, Mitch","641598","2024","0.627","-0.008",".006","-0.004"
"Heim, Jonah","641680","2024","0.603","-0.008","-0.020","-0.012"
"McMahon, Ryan","641857","2024","0.722","-0.001","-0.017","-0.010"
"O'Neill, Tyler","641933","2024","0.847",".028",".031",".021"
"Smith, Dominic","642086","2024","0.691",".014","-0.005",".004"
"Tellez, Rowdy","642133","2024","0.691",".006","-0.002","-0.001"
"Siri, Jose","642350","2024","0.621","-0.013","-0.043","-0.026"
"Rosario, Amed","642708","2024","0.686",".030",".021",".019"
"Adames, Willy","642715","2024","0.793",".008",".001",".003"
"Estrada, Thairo","642731","2024","0.590","-0.009",".005","-0.007"
"Benintendi, Andrew","643217","2024","0.685","-0.014",".007","-0.005"
"Dubón, Mauricio","643289","2024","0.657",".021",".031",".014"
"Jansen, Danny","643376","2024","0.658",".004",".017",".005"
"Kiner-Falefa, Isiah","643396","2024","0.682",".018",".030",".016"
"McNeil, Jeff","643446","2024","0.692",".003",".048",".016"
"Tauchman, Mike","643565","2024","0.723",".006","-0.014","-0.005"
"Albies, Ozzie","645277","2024","0.707",".005",".017",".005"
"Devers, Rafael","646240","2024","0.870",".000",".007",".000"
"Naylor, Josh","647304","2024","0.776","-0.014",".013","-0.003"
"Toro, Abraham","647351","2024","0.643","-0.005","-0.015","-0.008"
"Arraez, Luis","650333","2024","0.738",".004","-0.008","-0.002"
"Jiménez, Eloy","650391","2024","0.625","-0.010","-0.046","-0.024"
"Torres, Gleyber","650402","2024","0.708",".017",".010",".006"
"Castro, Willi","650489","2024","0.716",".003",".004","-0.003"
"Díaz, Yandy","650490","2024","0.755",".004","-0.009","-0.005"
"De La Cruz, Bryan","650559","2024","0.655","-0.009","-0.035","-0.019"
"Rengifo, Luis","650859","2024","0.764",".038",".065",".040"
"Chapman, Matt","656305","2024","0.791","-0.003",".012","-0.001"
"Hoskins, Rhys","656555","2024","0.722",".012",".032",".012"
"Joe, Connor","656582","2024","0.688",".022",".060",".028"
"McKinstry, Zach","656716","2024","0.614","-0.023","-0.027","-0.024"
"Mullins II, Cedric","656775","2024","0.710",".007",".050",".019"
"O'Hearn, Ryan","656811","2024","0.761","-0.014","-0.034","-0.021"
"Rivera, Emmanuel","656896","2024","0.655","-0.012","-0.040","-0.027"
"Schwarber, Kyle","656941","2024","0.851","-0.008","-0.027","-0.014"
"Thomas, Lane","657041","2024","0.709","-0.005",".023",".002"
"Verdugo, Alex","657077","2024","0.647","-0.017","-0.017","-0.019"
"Wong, Connor","657136","2024","0.758",".049",".070",".042"
"DeJong, Paul","657557","2024","0.703",".009",".032",".011"
"Laureano, Ramón","657656","2024","0.748",".024",".007",".013"
"Sheets, Gavin","657757","2024","0.660","-0.018","-0.023","-0.018"
"Ohtani, Shohei","660271","2024","1.036","-0.004","-0.014","-0.011"
"Ruiz, Keibert","660688","2024","0.619","-0.022",".009","-0.011"
"Sánchez, Jesús","660821","2024","0.730","-0.012","-0.051","-0.026"
"Contreras, William","661388","2024","0.831",".012","-0.005",".001"
"Varsho, Daulton","662139","2024","0.700",".028",".091",".043"
"Perkins, Blake","663368","2024","0.648",".022",".021",".013"
"Nootbaar, Lars","663457","2024","0.759","-0.020","-0.038","-0.024"
"Hoerner, Nico","663538","2024","0.708","-0.007",".020",".000"
"Riley, Austin","663586","2024","0.783","-0.011","-0.044","-0.023"
"Larnach, Trevor","663616","2024","0.772",".000","-0.024","-0.009"
"Mountcastle, Ryan","663624","2024","0.733","-0.001","-0.020","-0.016"
"Hayes, Ke'Bryan","663647","2024","0.573","-0.011","-0.037","-0.023"
"Tucker, Kyle","663656","2024","0.993",".010",".049",".019"
"India, Jonathan","663697","2024","0.749","-0.018","-0.020","-0.019"
"Raleigh, Cal","663728","2024","0.748","-0.013","-0.040","-0.023"
"Fortes, Nick","663743","2024","0.577",".002",".028",".007"
"Vierling, Matt","663837","2024","0.735",".001",".030",".008"
"Stephenson, Tyler","663886","2024","0.782",".017",".041",".017"
"Rodgers, Brendan","663898","2024","0.721",".019",".030",".019"
"Lowe, Nathaniel","663993","2024","0.762",".013",".021",".009"
"Happ, Ian","664023","2024","0.782",".000","-0.005","-0.004"
"France, Ty","664034","2024","0.670",".006","-0.022","-0.007"
"Lowe, Brandon","664040","2024","0.784","-0.010","-0.012","-0.011"
"Bader, Harrison","664056","2024","0.657","-0.006","-0.004","-0.009"
"Moore, Dylan","664238","2024","0.687",".000",".043",".009"
"Isbel, Kyle","664728","2024","0.654","-0.005",".034",".005"
"Bohm, Alec","664761","2024","0.780","-0.008",".004","-0.007"
"Wade Jr., LaMonte","664774","2024","0.761",".001","-0.047","-0.017"
"Brown, Seth","664913","2024","0.661","-0.001","-0.008","-0.005"
"McCarthy, Jake","664983","2024","0.749",".020",".041",".018"
"Peña, Jeremy","665161","2024","0.702",".003",".000","-0.005"
"Tatis Jr., Fernando","665487","2024","0.832","-0.022","-0.046","-0.028"
"Guerrero Jr., Vladimir","665489","2024","0.940",".002","-0.023","-0.010"
"Soto, Juan","665742","2024","0.988","-0.028","-0.077","-0.041"
"Taveras, Leody","665750","2024","0.641","-0.011","-0.016","-0.013"
"Amaya, Miguel","665804","2024","0.645","-0.019","-0.014","-0.017"
"Cabrera, Oswaldo","665828","2024","0.661","-0.001",".031",".005"
"Cruz, Oneil","665833","2024","0.773","-0.004","-0.012","-0.009"
"Chisholm Jr., Jazz","665862","2024","0.760",".016",".021",".011"
"Giménez, Andrés","665926","2024","0.638","-0.010","-0.015","-0.015"
"Fermin, Freddy","666023","2024","0.685",".027",".032",".021"
"Lowe, Josh","666139","2024","0.693",".013",".003",".004"
"Fitzgerald, Tyler","666149","2024","0.831",".053",".119",".065"
"Hamilton, David","666152","2024","0.698",".017",".049",".024"
"Lux, Gavin","666158","2024","0.703","-0.008","-0.003","-0.008"
"Moniak, Mickey","666160","2024","0.646","-0.002",".001","-0.002"
"Rortvedt, Ben","666163","2024","0.620",".026",".016",".016"
"Adell, Jo","666176","2024","0.682","-0.017","-0.016","-0.016"
"Benson, Will","666181","2024","0.650",".007",".043",".017"
"Bichette, Bo","666182","2024","0.599","-0.030","-0.053","-0.039"
"Naylor, Bo","666310","2024","0.614",".005",".024",".009"
"Julien, Edouard","666397","2024","0.615",".002","-0.028","-0.009"
"Morel, Christopher","666624","2024","0.634","-0.029","-0.053","-0.036"
"García, Adolis","666969","2024","0.684","-0.003","-0.013","-0.010"
"Gurriel Jr., Lourdes","666971","2024","0.757",".012",".014",".008"
"Rooker Jr., Brent","667670","2024","0.927",".027",".005",".012"
"Arozarena, Randy","668227","2024","0.720",".000",".007","-0.004"
"Rogers, Jake","668670","2024","0.607","-0.021","-0.061","-0.033"
"Bleday, JJ","668709","2024","0.761",".001",".037",".011"
"Steer, Spencer","668715","2024","0.721","-0.010",".023",".001"
"Reynolds, Bryan","668804","2024","0.791",".005","-0.016","-0.007"
"Vientos, Mark","668901","2024","0.838",".020",".053",".025"
"Lewis, Royce","668904","2024","0.747","-0.013",".017","-0.003"
"Turang, Brice","668930","2024","0.665","-0.007",".009","-0.003"
"Rutschman, Adley","668939","2024","0.709","-0.005","-0.002","-0.006"
"Rojas, Josh","668942","2024","0.640",".002","-0.014","-0.007"
"Melendez Jr., MJ","669004","2024","0.673","-0.033","-0.025","-0.025"
"Marsh, Brandon","669016","2024","0.747",".013",".013",".002"
"Langeliers, Shea","669127","2024","0.738","-0.017","-0.006","-0.013"
"Wells, Austin","669224","2024","0.717","-0.013","-0.034","-0.024"
"Smith, Will","669257","2024","0.760",".006","-0.013","-0.008"
"Espinal, Santiago","669289","2024","0.651","-0.012",".012","-0.003"
"Miranda, Jose","669304","2024","0.763",".025",".042",".022"
"Gorman, Nolan","669357","2024","0.671","-0.006","-0.033","-0.017"
"Edwards, Xavier","669364","2024","0.820",".076",".102",".063"
"Burger, Jake","669394","2024","0.761","-0.006","-0.016","-0.013"
"Smith, Josh","669701","2024","0.731",".016",".042",".019"
"Triolo, Jared","669707","2024","0.611","-0.008","-0.017","-0.014"
"Toglia, Michael","669911","2024","0.767","-0.026","-0.047","-0.029"
"Lopez, Nicky","670032","2024","0.606",".014",".006",".007"
"Raley, Luke","670042","2024","0.783",".023",".045",".023"
"Alvarez, Yordan","670541","2024","0.959",".005","-0.028","-0.009"
"Paredes, Isaac","670623","2024","0.739",".018",".056",".023"
"Friedl Jr., TJ","670770","2024","0.690","-0.002",".062",".013"
"Ramos, Heliot","671218","2024","0.791",".019","-0.012",".001"
"García, Luis","671277","2024","0.762",".004","-0.008","-0.003"
"Freeman, Tyler","671289","2024","0.626","-0.027","-0.017","-0.019"
"Butler, Lawrence","671732","2024","0.807",".001",".019",".003"
"Harris II, Michael","671739","2024","0.722","-0.020","-0.043","-0.032"
"Bailey, Patrick","672275","2024","0.637","-0.024","-0.059","-0.038"
"Siani, Michael","672279","2024","0.570",".023",".020",".014"
"Kelenic, Jarred","672284","2024","0.679","-0.010","-0.019","-0.014"
"Kirk, Alejandro","672386","2024","0.678","-0.004","-0.033","-0.027"
"Moreno, Gabriel","672515","2024","0.733",".011","-0.004",".000"
"Garcia, Maikel","672580","2024","0.613","-0.029","-0.034","-0.030"
"Lopez, Otto","672640","2024","0.690","-0.004","-0.017","-0.011"
"Perdomo, Geraldo","672695","2024","0.718",".042",".060",".036"
"Pérez, Wenceel","672761","2024","0.683",".001",".029",".008"
"Sosa, Lenyn","672820","2024","0.642","-0.024","-0.060","-0.036"
"Diaz, Yainer","673237","2024","0.766",".000","-0.017","-0.010"
"Robert Jr., Luis","673357","2024","0.657",".014",".015",".008"
"Kim, Ha-Seong","673490","2024","0.700","-0.012",".018","-0.005"
"Suzuki, Seiya","673548","2024","0.848",".028",".029",".019"
"Westburg, Jordan","676059","2024","0.793","-0.017","-0.010","-0.013"
"DeLuca, Jonny","676356","2024","0.609","-0.013",".013","-0.003"
"Clement, Ernie","676391","2024","0.692",".011",".035",".015"
"Burleson, Alec","676475","2024","0.734","-0.004","-0.015","-0.010"
"Caballero, José","676609","2024","0.630",".010",".032",".010"
"Meyers, Jake","676694","2024","0.646","-0.016","-0.022","-0.019"
"Schneider, Davis","676914","2024","0.625","-0.007","-0.015","-0.015"
"Rocchio, Brayan","677587","2024","0.614","-0.004",".014",".001"
"Rodríguez, Julio","677594","2024","0.734","-0.002","-0.054","-0.023"
"Abreu, Wilyer","677800","2024","0.781",".024",".041",".019"
"Witt Jr., Bobby","677951","2024","0.977",".017",".011",".003"
"Tovar, Ezequiel","678662","2024","0.764",".036",".068",".035"
"Rafaela, Ceddanne","678882","2024","0.664",".017",".022",".013"
"Rojas, Johan","679032","2024","0.601",".018",".030",".015"
"Torkelson, Spencer","679529","2024","0.669",".010",".023",".012"
"Schuemann, Max","680474","2024","0.619","-0.002","-0.030","-0.015"
"Palacios, Richie","680700","2024","0.664","-0.026","-0.024","-0.022"
"Kwan, Steven","680757","2024","0.793",".008",".040",".016"
"Duran, Jarren","680776","2024","0.834",".010",".039",".015"
"Jeffers, Ryan","680777","2024","0.732",".000",".046",".013"
"Gelof, Zack","680869","2024","0.632",".012",".015",".005"
"Donovan, Brendan","680977","2024","0.759",".001","-0.002","-0.003"
"Stott, Bryson","681082","2024","0.671","-0.009","-0.007","-0.010"
"Cowser, Colton","681297","2024","0.768",".012",".010",".005"
"O'Hoppe, Logan","681351","2024","0.712","-0.007","-0.045","-0.020"
"Pages, Andy","681624","2024","0.712","-0.003","-0.015","-0.011"
"Fry, David","681807","2024","0.804",".017",".054",".021"
"Alvarez, Francisco","682626","2024","0.710",".017",".045",".021"
"De La Cruz, Elly","682829","2024","0.810",".019",".043",".021"
"Abrams, CJ","682928","2024","0.747","-0.001",".024",".003"
"Greene, Riley","682985","2024","0.827",".009",".002",".002"
"Carroll, Corbin","682998","2024","0.750","-0.010",".037",".001"
"Henderson, Gunnar","683002","2024","0.893","-0.002",".037",".007"
"Volpe, Anthony","683011","2024","0.657",".005",".032",".009"
"Vaughn, Andrew","683734","2024","0.699",".002","-0.038","-0.015"
"Busch, Michael","683737","2024","0.775",".031",".022",".017"
"Frelick, Sal","686217","2024","0.655",".013",".031",".014"
"Pasquantino, Vinnie","686469","2024","0.761","-0.004",".008","-0.006"
"Doyle, Brenton","686668","2024","0.763",".006",".009","-0.001"
"Lee, Korey","686676","2024","0.591","-0.002",".009",".001"
"Massey, Michael","686681","2024","0.743",".001",".035",".008"
"Brennan, Will","686823","2024","0.697","-0.005",".014",".001"
"Neto, Zach","687263","2024","0.761",".013",".029",".013"
"Ortiz, Joey","687401","2024","0.727",".005",".055",".014"
"Horwitz, Spencer","687462","2024","0.790",".011",".014",".006"
"Keith, Colt","690993","2024","0.689","-0.006","-0.013","-0.010"
"Winn, Masyn","691026","2024","0.730",".011",".058",".022"
"Crow-Armstrong, Pete","691718","2024","0.670",".014",".017",".008"
"Gonzales, Nick","693304","2024","0.709",".000","-0.009","-0.010"
"Chourio, Jackson","694192","2024","0.791",".001",".034",".011"
"Schanuel, Nolan","694384","2024","0.705","-0.008",".003","-0.006"
"Langford, Wyatt","694671","2024","0.740","-0.004","-0.012","-0.010"
"Wood, James","695578","2024","0.781","-0.005","-0.012","-0.009"
"Young, Jacob","696285","2024","0.647",".003",".014",".004"
"Merrill, Jackson","701538","2024","0.826","-0.011","-0.034","-0.020"
"Yoshida, Masataka","807799","2024","0.764",".022",".021",".014"