"last_name, first_name","player_id","year","on_base_plus_slg","babip","xbadiff","xslgdiff","wobadiff"
"Cabrera, Miguel","408234","2021","0.702",".305",".022","-0.034","-0.010"
"Molina, Yadier","425877","2021","0.667",".283","-0.003","-0.036","-0.016"
"Cruz Jr., Nelson","443558","2021","0.831",".286",".001","-0.015","-0.017"
"Peralta, David","444482","2021","0.727",".303",".016",".057",".021"
"Escobar, Alcides","444876","2021","0.744",".337",".017",".042",".016"
"Cabrera, Asdrúbal","452678","2021","0.679",".283",".016",".035",".011"
"Blackmon, Charlie","453568","2021","0.762",".305","-0.021","-0.039","-0.026"
"Maldonado, Martín","455117","2021","0.572",".221","-0.011","-0.012","-0.009"
"Solano, Donovan","456781","2021","0.748",".321",".005","-0.028","-0.011"
"McCutchen, Andrew","457705","2021","0.778",".242","-0.018",".013","-0.009"
"Upton, Justin","457708","2021","0.705",".254","-0.015","-0.020","-0.017"
"Turner, Justin","457759","2021","0.832",".292",".008",".001","-0.001"
"Posey III, Buster","457763","2021","0.889",".349",".023",".030",".018"
"Votto, Joey","458015","2021","0.938",".287","-0.008","-0.029","-0.015"
"Gardner, Brett","458731","2021","0.689",".269",".003",".040",".009"
"Andrus, Elvis","462101","2021","0.614",".283","-0.030","-0.055","-0.038"
"Santana, Carlos","467793","2021","0.661",".227","-0.030","-0.079","-0.041"
"Belt, Brandon","474832","2021","0.975",".309",".031",".072",".032"
"Lowrie, Jed","476704","2021","0.716",".289","-0.014","-0.066","-0.032"
"Brantley Jr., Michael","488726","2021","0.799",".337","-0.001","-0.029","-0.014"
"Gurriel Jr., Yuli","493329","2021","0.845",".336",".048",".076",".037"
"Rojas, Miguel","500743","2021","0.714",".295",".016",".047",".019"
"Escobar, Eduardo","500871","2021","0.786",".279",".004",".019",".006"
"Lagares, Juan","501571","2021","0.638",".294","-0.008","-0.001","-0.008"
"Pham, Tommy","502054","2021","0.723",".280","-0.024","-0.055","-0.032"
"Martinez, J.D.","502110","2021","0.867",".340","-0.002","-0.015","-0.010"
"Goldschmidt, Paul","502671","2021","0.879",".331",".001","-0.061","-0.024"
"Gonzalez, Marwin","503556","2021","0.579",".258","-0.019","-0.030","-0.022"
"Altuve, Jose","514888","2021","0.839",".280",".016",".068",".025"
"Hernández, César","514917","2021","0.694",".266","-0.011",".000","-0.009"
"Segura, Jean","516416","2021","0.784",".317",".024",".040",".019"
"Castro, Starlin","516770","2021","0.708",".339",".011","-0.037","-0.015"
"Marte, Starling","516782","2021","0.841",".372",".033",".020",".017"
"Donaldson, Josh","518626","2021","0.827",".268","-0.022","-0.067","-0.035"
"Freeman, Freddie","518692","2021","0.896",".321","-0.020","-0.080","-0.037"
"Grandal, Yasmani","518735","2021","0.940",".246","-0.018",".014","-0.010"
"Heyward, Jason","518792","2021","0.627",".247","-0.020","-0.020","-0.019"
"LeMahieu, DJ","518934","2021","0.711",".301","-0.015","-0.035","-0.025"
"Rizzo, Anthony","519203","2021","0.784",".258","-0.013",".006","-0.008"
"Stanton, Giancarlo","519317","2021","0.870",".324",".011",".018",".007"
"Galvis, Freddy","520471","2021","0.709",".269",".020",".057",".025"
"Perez, Salvador","521692","2021","0.860",".298",".000","-0.018","-0.012"
"Flores, Wilmer","527038","2021","0.782",".264",".024",".047",".025"
"García, Avisaíl","541645","2021","0.820",".291","-0.016","-0.024","-0.020"
"Villar, Jonathan","542340","2021","0.738",".313",".014",".028",".013"
"Ortega, Rafael","542364","2021","0.823",".349",".039",".082",".044"
"Aguilar, Jesús","542583","2021","0.788",".279",".001",".006",".000"
"Crawford, Brandon","543063","2021","0.895",".334",".039",".030",".021"
"Cron, C.J.","543068","2021","0.905",".316",".020",".049",".019"
"Dickerson, Alex","543105","2021","0.724",".273","-0.028","-0.026","-0.024"
"Gomes, Yan","543228","2021","0.722",".287","-0.028","-0.048","-0.033"
"Grossman, Robbie","543257","2021","0.772",".286",".005",".016",".003"
"Harrison, Josh","543281","2021","0.741",".313",".001","-0.020","-0.008"
"Hosmer, Eric","543333","2021","0.732",".313",".001","-0.011","-0.007"
"McCann, James","543510","2021","0.643",".304",".013",".010",".001"
"Miller, Brad","543543","2021","0.774",".276","-0.020","-0.007","-0.014"
"Semien, Marcus","543760","2021","0.872",".276",".016",".079",".032"
"Springer III, George","543807","2021","0.907",".286",".016",".048",".020"
"Vázquez, Christian","543877","2021","0.660",".301",".023",".015",".013"
"Wong, Kolten","543939","2021","0.782",".305",".021",".065",".029"
"Gregorius, Didi","544369","2021","0.640",".217","-0.016",".041",".000"
"Garcia, Leury","544725","2021","0.711",".333",".027",".040",".021"
"Grichuk, Randal","545341","2021","0.704",".266",".007",".021",".003"
"Stassi, Max","545358","2021","0.752",".325",".009",".007",".004"
"Herrera, Odúbel","546318","2021","0.726",".285",".008",".038",".010"
"Harper, Bryce","547180","2021","1.044",".359",".008",".006",".001"
"Abreu, José","547989","2021","0.832",".293",".009",".024",".005"
"Díaz, Elias","553869","2021","0.774",".249","-0.001",".045",".012"
"Narváez, Omar","553882","2021","0.744",".308",".031",".033",".018"
"Suárez, Eugenio","553993","2021","0.714",".224","-0.017","-0.027","-0.020"
"Polanco, Gregory","570256","2021","0.637",".258","-0.024","-0.057","-0.041"
"Urshela, Gio","570482","2021","0.720",".329",".015",".004",".005"
"Schoop, Jonathan","570731","2021","0.755",".317",".020",".031",".013"
"Arenado, Nolan","571448","2021","0.806",".249",".007",".074",".025"
"Barnhart, Tucker","571466","2021","0.685",".324",".043",".055",".035"
"Farmer, Kyle","571657","2021","0.732",".296",".011",".033",".014"
"Haniger, Mitch","571745","2021","0.803",".281","-0.004","-0.007","-0.010"
"Hernández, Enrique","571771","2021","0.786",".278","-0.003","-0.006","-0.008"
"Muncy, Max","571970","2021","0.895",".257","-0.022","-0.053","-0.028"
"Myers, Wil","571976","2021","0.768",".333",".038",".064",".035"
"Naquin, Tyler","571980","2021","0.810",".318",".006",".018",".005"
"Pollock, AJ","572041","2021","0.891",".326",".015",".037",".016"
"Seager, Kyle","572122","2021","0.723",".226","-0.009","-0.014","-0.011"
"Taylor, Michael A.","572191","2021","0.653",".319","-0.002","-0.034","-0.014"
"Walker, Christian","572233","2021","0.697",".307","-0.005","-0.004","-0.007"
"Zunino, Mike","572287","2021","0.860",".231","-0.003",".027",".004"
"Dickerson, Corey","572816","2021","0.734",".323",".027",".038",".022"
"Ruf, Darin","573131","2021","0.904",".344",".009",".004",".003"
"Yastrzemski, Mike","573262","2021","0.768",".254",".003",".026",".008"
"Contreras, Willson","575929","2021","0.778",".298","-0.003","-0.010","-0.009"
"Iglesias, Jose","578428","2021","0.700",".305",".001",".025",".007"
"Torreyes, Ronald","591720","2021","0.632",".258",".009",".047",".018"
"Bryant, Kris","592178","2021","0.834",".313",".005",".032",".010"
"Canha, Mark","592192","2021","0.745",".274",".000",".009",".001"
"Castellanos, Nick","592206","2021","0.938",".340",".016",".041",".017"
"Gamel, Ben","592325","2021","0.735",".329",".017",".015",".007"
"Goodrum, Niko","592348","2021","0.651",".301","-0.001","-0.022","-0.018"
"Judge, Aaron","592450","2021","0.917",".332","-0.021","-0.050","-0.031"
"Machado, Manny","592518","2021","0.836",".290","-0.013","-0.037","-0.026"
"Moran, Colin","592567","2021","0.724",".321",".013","-0.001",".003"
"Pederson, Joc","592626","2021","0.732",".281","-0.006","-0.019","-0.018"
"Realmuto, J.T.","592663","2021","0.782",".325",".010",".023",".007"
"Renfroe, Hunter","592669","2021","0.816",".284","-0.001","-0.005","-0.010"
"Rosario, Eddie","592696","2021","0.740",".273",".004",".008","-0.003"
"Simmons, Andrelton","592743","2021","0.557",".256","-0.007","-0.007","-0.009"
"Yelich, Christian","592885","2021","0.735",".321","-0.006","-0.019","-0.012"
"Merrifield, Whit","593160","2021","0.712",".309",".014",".012",".005"
"Bogaerts, Xander","593428","2021","0.863",".333",".015",".025",".009"
"Polanco, Jorge","593871","2021","0.826",".282",".002",".015",".001"
"Sanó, Miguel","593934","2021","0.778",".291",".007",".027",".010"
"Duvall, Adam","594807","2021","0.772",".260",".001","-0.008","-0.006"
"Gosselin, Phil","594838","2021","0.676",".322",".021",".008",".009"
"Kiermaier, Kevin","595281","2021","0.716",".345",".027",".068",".027"
"Alfaro, Jorge","595751","2021","0.625",".354","-0.003","-0.039","-0.018"
"Profar, Jurickson","595777","2021","0.649",".266","-0.011","-0.003","-0.009"
"Báez, Javier","595879","2021","0.813",".352",".028",".044",".023"
"Hedges, Austin","595978","2021","0.528",".214","-0.013",".021","-0.001"
"Lindor, Francisco","596019","2021","0.734",".248","-0.024","-0.038","-0.027"
"Odor, Rougned","596059","2021","0.665",".242",".000",".005","-0.001"
"Slater, Austin","596103","2021","0.743",".303","-0.015","-0.016","-0.014"
"Story, Trevor","596115","2021","0.800",".293",".006",".021",".006"
"Sánchez, Gary","596142","2021","0.730",".230","-0.024","-0.029","-0.022"
"Kepler, Max","596146","2021","0.719",".225","-0.044","-0.039","-0.038"
"Franco, Maikel","596748","2021","0.608",".225","-0.014",".011","-0.007"
"Choi, Ji Man","596847","2021","0.759",".300","-0.008","-0.013","-0.008"
"Bradley Jr., Jackie","598265","2021","0.497",".226","-0.031","-0.029","-0.029"
"Severino, Pedro","600474","2021","0.691",".314","-0.001","-0.018","-0.012"
"Candelario, Jeimer","600869","2021","0.794",".333","-0.007","-0.019","-0.012"
"Daza, Yonathan","602074","2021","0.687",".346",".029",".027",".018"
"Ahmed, Nick","605113","2021","0.619",".279",".013",".049",".020"
"Bell, Josh","605137","2021","0.823",".276","-0.016","-0.012","-0.015"
"Betts, Mookie","605141","2021","0.854",".276",".001",".042",".008"
"Caratini, Victor","605170","2021","0.632",".281","-0.001","-0.032","-0.017"
"Zimmer, Bradley","605548","2021","0.669",".347",".003","-0.027","-0.017"
"Castro, Harold","605612","2021","0.669",".351","-0.004","-0.055","-0.024"
"Tapia, Raimel","606132","2021","0.699",".306",".032",".064",".032"
"Hernández, Teoscar","606192","2021","0.870",".352",".012","-0.013","-0.001"
"Marte, Ketel","606466","2021","0.909",".352",".011",".037",".013"
"Haase, Eric","606992","2021","0.745",".278","-0.003","-0.002","-0.006"
"Nimmo, Brandon","607043","2021","0.838",".366",".025",".051",".024"
"Peterson, Jace","607054","2021","0.715",".310",".012","-0.001","-0.001"
"Turner, Trea","607208","2021","0.911",".362",".024",".051",".022"
"Pillar, Kevin","607680","2021","0.692",".261",".007",".043",".016"
"Stallings, Jacob","607732","2021","0.704",".297",".001",".000","-0.002"
"Ramírez, José","608070","2021","0.893",".256","-0.017",".030","-0.004"
"Bregman, Alex","608324","2021","0.777",".286",".012",".005",".004"
"Gallo, Joey","608336","2021","0.809",".246",".000","-0.002","-0.004"
"Kelly, Carson","608348","2021","0.754",".270","-0.014","-0.017","-0.018"
"Seager, Corey","608369","2021","0.915",".336",".011","-0.009","-0.003"
"Winker, Jesse","608385","2021","0.950",".324",".010",".032",".013"
"Murphy, Tom","608596","2021","0.654",".265",".009",".003","-0.001"
"Reyes, Franmil","614177","2021","0.846",".314",".008",".010",".001"
"Torrens, Luis","620443","2021","0.730",".294","-0.002",".003","-0.007"
"Swanson, Dansby","621020","2021","0.760",".297","-0.003","-0.006","-0.010"
"Newman, Kevin","621028","2021","0.574",".236","-0.029","-0.021","-0.026"
"Taylor, Chris","621035","2021","0.782",".337",".017",".016",".009"
"Correa, Carlos","621043","2021","0.851",".308","-0.017",".003","-0.009"
"Stewart, DJ","621466","2021","0.698",".254","-0.001","-0.008","-0.004"
"Wisdom, Patrick","621550","2021","0.823",".318",".015",".058",".025"
"Wendle, Joey","621563","2021","0.741",".327",".027",".066",".031"
"Olson, Matt","621566","2021","0.911",".269",".007",".033",".001"
"Duffy, Matt","622110","2021","0.738",".351",".012","-0.004",".002"
"Margot, Manuel","622534","2021","0.695",".281","-0.014","-0.015","-0.017"
"Bote, David","623520","2021","0.606",".235","-0.027","-0.063","-0.040"
"Ramírez, Harold","623912","2021","0.703",".301",".006",".003",".000"
"Santander, Anthony","623993","2021","0.719",".275","-0.028","-0.013","-0.021"
"Alonso, Pete","624413","2021","0.863",".274","-0.009","-0.023","-0.014"
"Conforto, Michael","624424","2021","0.728",".276","-0.021","-0.052","-0.028"
"Frazier, Adam","624428","2021","0.779",".339",".017",".035",".017"
"Trevino, Jose","624431","2021","0.607",".279","-0.009","-0.034","-0.024"
"Soler, Jorge","624585","2021","0.748",".250","-0.027","-0.062","-0.036"
"Sosa, Edmundo","624641","2021","0.735",".326",".012",".003",".002"
"Heredia, Guillermo","628338","2021","0.665",".282",".000",".018",".002"
"Cronenworth, Jake","630105","2021","0.800",".283","-0.010",".017","-0.003"
"Meadows, Austin","640457","2021","0.773",".249","-0.006",".033",".001"
"Anderson, Tim","641313","2021","0.807",".372",".031",".027",".021"
"Bauers, Jake","641343","2021","0.567",".275","-0.024","-0.084","-0.040"
"Bellinger, Cody","641355","2021","0.542",".196","-0.044","-0.056","-0.044"
"Crawford, J.P.","641487","2021","0.714",".320",".016",".037",".016"
"Dozier, Hunter","641531","2021","0.679",".276","-0.008",".006","-0.006"
"Hampson, Garrett","641658","2021","0.669",".291","-0.002",".006","-0.003"
"Mancini III, Trey","641820","2021","0.758",".308","-0.011","-0.020","-0.015"
"McKinney, Billy","641856","2021","0.638",".235","-0.018",".003","-0.011"
"McMahon, Ryan","641857","2021","0.780",".306",".010",".023",".009"
"O'Neill, Tyler","641933","2021","0.912",".366",".010","-0.019","-0.005"
"Smith, Dominic","642086","2021","0.667",".298","-0.018","-0.057","-0.034"
"Tellez, Rowdy","642133","2021","0.719",".275","-0.023","-0.057","-0.034"
"VanMeter, Josh","642165","2021","0.651",".278",".009",".033",".013"
"Rosario, Amed","642708","2021","0.730",".340",".015",".041",".015"
"Adames, Willy","642715","2021","0.818",".331",".026",".043",".024"
"Benintendi, Andrew","643217","2021","0.766",".309",".015","-0.014","-0.003"
"Kemp, Tony","643393","2021","0.800",".304",".029",".069",".030"
"Kiner-Falefa, Isiah","643396","2021","0.669",".304",".004",".008",".001"
"McNeil, Jeff","643446","2021","0.679",".280","-0.006","-0.027","-0.014"
"Albies, Ozzie","645277","2021","0.798",".278",".002",".027",".007"
"Robles, Victor","645302","2021","0.605",".271","-0.013","-0.019","-0.014"
"Devers, Rafael","646240","2021","0.890",".307","-0.012","-0.029","-0.021"
"Toro, Abraham","647351","2021","0.688",".254","-0.008","-0.043","-0.020"
"Díaz, Aledmys","649557","2021","0.722",".304","-0.008","-0.006","-0.008"
"Urías, Luis","649966","2021","0.790",".280",".008",".018",".007"
"Arraez, Luis","650333","2021","0.733",".323","-0.001","-0.035","-0.016"
"Torres, Gleyber","650402","2021","0.697",".314","-0.006","-0.057","-0.024"
"Castro, Willi","650489","2021","0.624",".275","-0.019","-0.007","-0.015"
"Díaz, Yandy","650490","2021","0.740",".286",".002","-0.012","-0.007"
"Chapman, Matt","656305","2021","0.717",".272",".001","-0.020","-0.010"
"Hoskins, Rhys","656555","2021","0.864",".270","-0.002","-0.034","-0.014"
"Mullins II, Cedric","656775","2021","0.878",".322",".019",".071",".028"
"Schwarber, Kyle","656941","2021","0.928",".306",".001","-0.011","-0.007"
"Smith, Pavin","656976","2021","0.732",".319",".009",".002",".001"
"Verdugo, Alex","657077","2021","0.777",".327",".004","-0.020","-0.008"
"DeJong, Paul","657557","2021","0.674",".216","-0.014","-0.026","-0.019"
"Laureano, Ramón","657656","2021","0.760",".304",".001","-0.016","-0.008"
"Moncada, Yoán","660162","2021","0.787",".350",".002","-0.014","-0.006"
"Ohtani, Shohei","660271","2021","0.964",".303","-0.009","-0.020","-0.015"
"Acuña Jr., Ronald","660670","2021","0.990",".311","-0.012","-0.007","-0.017"
"Varsho, Daulton","662139","2021","0.755",".286","-0.002",".007","-0.001"
"Riley, Austin","663586","2021","0.898",".368",".022",".020",".013"
"Larnach, Trevor","663616","2021","0.672",".338",".011","-0.026","-0.006"
"Mountcastle, Ryan","663624","2021","0.796",".297",".010",".030",".009"
"Hayes, Ke'Bryan","663647","2021","0.689",".321",".015",".011",".007"
"Tucker, Kyle","663656","2021","0.916",".304","-0.009","-0.019","-0.013"
"India, Jonathan","663697","2021","0.835",".326",".015",".023",".011"
"Grisham, Trent","663757","2021","0.740",".292",".001",".045",".011"
"Stephenson, Tyler","663886","2021","0.797",".333",".029",".040",".022"
"Rodgers, Brendan","663898","2021","0.798",".328",".031",".056",".030"
"Lowe, Nathaniel","663993","2021","0.772",".339",".028",".014",".014"
"Happ, Ian","664023","2021","0.757",".281",".006",".038",".011"
"France, Ty","664034","2021","0.813",".327",".021",".010",".007"
"Lowe, Brandon","664040","2021","0.863",".280","-0.002",".024",".003"
"Bader, Harrison","664056","2021","0.784",".306",".040",".072",".041"
"Fletcher, David","664058","2021","0.621",".287","-0.010",".004","-0.007"
"Moore, Dylan","664238","2021","0.610",".229","-0.023","-0.014","-0.017"
"Straw, Myles","664702","2021","0.697",".336",".015",".015",".008"
"Bohm, Alec","664761","2021","0.647",".327","-0.014","-0.050","-0.028"
"Wade Jr., LaMonte","664774","2021","0.808",".289",".000",".010","-0.001"
"Brown, Seth","664913","2021","0.754",".230","-0.011",".018","-0.003"
"Walsh, Jared","665120","2021","0.849",".335",".021",".075",".031"
"Tatis Jr., Fernando","665487","2021","0.975",".324",".003","-0.004","-0.004"
"Guerrero Jr., Vladimir","665489","2021","1.002",".313",".000",".004","-0.002"
"Soto, Juan","665742","2021","0.999",".332",".008","-0.011","-0.009"
"Chisholm Jr., Jazz","665862","2021","0.728",".319",".010",".016",".005"
"Lux, Gavin","666158","2021","0.692",".300","-0.018","-0.023","-0.020"
"Bichette, Bo","666182","2021","0.827",".339",".007","-0.006","-0.001"
"Carlson, Dylan","666185","2021","0.780",".332",".019",".030",".014"
"Dalbec, Bobby","666915","2021","0.792",".316",".004","-0.028","-0.010"
"García, Adolis","666969","2021","0.740",".306",".023",".032",".015"
"Gurriel Jr., Lourdes","666971","2021","0.785",".305",".004",".004","-0.006"
"Arozarena, Randy","668227","2021","0.815",".363",".052",".090",".046"
"Baddoo, Akil","668731","2021","0.766",".335",".032",".033",".020"
"Reynolds, Bryan","668804","2021","0.912",".345",".008","-0.001","-0.001"
"Rojas, Josh","668942","2021","0.752",".345",".032",".059",".032"
"Murphy, Sean","669221","2021","0.711",".257","-0.024","-0.036","-0.028"
"Edman, Tommy","669242","2021","0.695",".291","-0.012","-0.014","-0.015"
"Solak, Nick","669256","2021","0.676",".292",".004",".001",".000"
"Smith, Will","669257","2021","0.860",".274",".008",".023",".000"
"Hays, Austin","669720","2021","0.769",".286",".011",".029",".012"
"Lopez, Nicky","670032","2021","0.743",".347",".061",".073",".046"
"Alvarez, Yordan","670541","2021","0.877",".320",".002","-0.034","-0.017"
"Kelenic, Jarred","672284","2021","0.615",".216","-0.042","-0.063","-0.044"
"McCormick, Chas","676801","2021","0.766",".341",".033",".023",".016"
"Franco, Wander","677551","2021","0.810",".311",".012",".056",".019"
"Vaughn, Andrew","683734","2021","0.705",".271","-0.008","-0.038","-0.026"
"Pujols, Albert","405395","2022","0.895",".252",".008",".051",".015"
"Cabrera, Miguel","408234","2022","0.622",".324",".020","-0.014",".000"
"Cruz Jr., Nelson","443558","2022","0.650",".295","-0.007","-0.062","-0.028"
"Peralta, David","444482","2022","0.731",".307",".002",".016",".002"
"Blackmon, Charlie","453568","2022","0.733",".304",".008",".043",".016"
"Maldonado, Martín","455117","2022","0.600",".228",".005",".027",".011"
"Solano, Donovan","456781","2022","0.724",".349",".016","-0.008",".004"
"McCutchen, Andrew","457705","2022","0.700",".278","-0.015","-0.022","-0.016"
"Turner, Justin","457759","2022","0.788",".313",".011",".011",".004"
"Votto, Joey","458015","2022","0.689",".257","-0.013","-0.020","-0.012"
"Andrus, Elvis","462101","2022","0.707",".272",".004",".044",".017"
"Santana, Carlos","467793","2022","0.692",".209","-0.051","-0.062","-0.044"
"Gurriel Jr., Yuli","493329","2022","0.648",".266",".002",".041",".014"
"Rojas, Miguel","500743","2022","0.606",".258","-0.028","-0.024","-0.025"
"Escobar, Eduardo","500871","2022","0.725",".281","-0.003",".003","-0.003"
"Pham, Tommy","502054","2022","0.686",".304","-0.002","-0.009","-0.007"
