"last_name, first_name","player_id","year","on_base_plus_slg","babip","xbadiff","xslgdiff","wobadiff"
"Freeman, Freddie","518692","2023","0.977",".370",".008",".002",".003"
"Grandal, Yasmani","518735","2023","0.648",".284",".012",".007",".006"
"Heyward, Jason","518792","2023","0.813",".291",".019",".068",".029"
"LeMahieu, DJ","518934","2023","0.717",".295","-0.012","-0.003","-0.007"
"Moustakas, Mike","519058","2023","0.685",".296",".030",".040",".024"
"Rizzo, Anthony","519203","2023","0.706",".298","-0.002","-0.015","-0.007"
"Stanton, Giancarlo","519317","2023","0.695",".210","-0.028","-0.042","-0.028"
"Perez, Salvador","521692","2023","0.714",".294","-0.011","-0.038","-0.023"
"Flores, Wilmer","527038","2023","0.864",".286",".028",".072",".035"
"Bethancourt, Christian","542194","2023","0.635",".278",".010",".005",".005"
"Ozuna, Marcell","542303","2023","0.904",".293","-0.006","-0.019","-0.012"
"Berti, Jon","542932","2023","0.749",".349",".013","-0.006",".001"
"Crawford, Brandon","543063","2023","0.587",".241","-0.025","-0.065","-0.034"
"Gomes, Yan","543228","2023","0.723",".309",".005","-0.001","-0.009"
"Grossman, Robbie","543257","2023","0.734",".292",".014",".044",".017"
"Hicks, Aaron","543305","2023","0.736",".311",".046",".079",".044"
"Semien, Marcus","543760","2023","0.826",".291",".014",".051",".021"
"Springer III, George","543807","2023","0.732",".291","-0.006","-0.017","-0.012"
"Vázquez, Christian","543877","2023","0.598",".279","-0.003","-0.005","-0.004"
"Grichuk, Randal","545341","2023","0.780",".309",".004",".034",".010"
"Trout, Mike","545361","2023","0.857",".335","-0.012","-0.033","-0.021"
"Harper, Bryce","547180","2023","0.900",".352",".003","-0.031","-0.015"
"Abreu, José","547989","2023","0.679",".276","-0.011","-0.026","-0.019"
"Díaz, Elias","553869","2023","0.725",".324",".022",".033",".018"
"Suárez, Eugenio","553993","2023","0.714",".314",".009","-0.028","-0.011"
"Arenado, Nolan","571448","2023","0.774",".279",".000",".024",".007"
"Farmer, Kyle","571657","2023","0.725",".311",".004",".003",".003"
"Hernández, Enrique","571771","2023","0.646",".273",".013",".020",".010"
"Muncy, Max","571970","2023","0.808",".221","-0.023","-0.029","-0.020"
"Taylor, Michael A.","572191","2023","0.720",".278","-0.002",".009",".002"
"Walker, Christian","572233","2023","0.830",".272",".007",".037",".012"
"Yastrzemski, Mike","573262","2023","0.775",".286",".001",".026",".008"
"Contreras, Willson","575929","2023","0.825",".311","-0.015","-0.023","-0.015"
"Bryant, Kris","592178","2023","0.680",".270","-0.012","-0.046","-0.021"
"Canha, Mark","592192","2023","0.755",".293",".014",".019",".010"
"Castellanos, Nick","592206","2023","0.787",".337",".014",".033",".015"
"Drury, Brandon","592273","2023","0.803",".308",".010",".057",".021"
"Judge, Aaron","592450","2023","1.019",".300","-0.022","-0.099","-0.041"
"Machado, Manny","592518","2023","0.781",".268",".004",".004",".002"
"Pederson, Joc","592626","2023","0.764",".268","-0.029","-0.065","-0.035"
"Realmuto, J.T.","592663","2023","0.762",".307","-0.002","-0.010","-0.010"
"Renfroe, Hunter","592669","2023","0.713",".270",".008",".050",".019"
"Rosario, Eddie","592696","2023","0.755",".300",".001",".014",".005"
"Yelich, Christian","592885","2023","0.817",".342","-0.006","-0.013","-0.009"
"Merrifield, Whit","593160","2023","0.700",".313",".030",".047",".028"
"Bogaerts, Xander","593428","2023","0.790",".319",".030",".039",".025"
"Polanco, Jorge","593871","2023","0.789",".310",".005","-0.027","-0.008"
"Duvall, Adam","594807","2023","0.834",".299",".037",".095",".043"
"Kiermaier, Kevin","595281","2023","0.741",".321",".006",".065",".020"
"Profar, Jurickson","595777","2023","0.689",".279","-0.005",".019","-0.002"
"Báez, Javier","595879","2023","0.592",".274","-0.012","-0.030","-0.018"
"Lindor, Francisco","596019","2023","0.806",".277","-0.001",".013",".000"
"Vogelbach, Daniel","596129","2023","0.743",".282",".004",".003",".003"
"Kepler, Max","596146","2023","0.816",".288","-0.011","-0.019","-0.014"
"Candelario, Jeimer","600869","2023","0.807",".292",".015",".064",".028"
"Urías, Ramón","602104","2023","0.703",".355",".038",".039",".029"
"Anderson, Brian","605119","2023","0.678",".309","-0.005","-0.023","-0.017"
"Bell, Josh","605137","2023","0.744",".287","-0.016","-0.038","-0.022"
"Betts, Mookie","605141","2023","0.987",".316",".013",".016",".009"
"Davis, J.D.","605204","2023","0.737",".320",".004",".001","-0.002"
"Arcia, Orlando","606115","2023","0.741",".301",".017",".022",".014"
"Hernández, Teoscar","606192","2023","0.740",".342",".000","-0.041","-0.019"
"Marte, Ketel","606466","2023","0.843",".300",".010",".058",".019"
"Nimmo, Brandon","607043","2023","0.829",".324",".013",".013",".007"
"Peterson, Jace","607054","2023","0.611",".270","-0.005","-0.025","-0.012"
"Turner, Trea","607208","2023","0.779",".310",".000",".012",".003"
"Ramírez, José","608070","2023","0.831",".285","-0.017","-0.005","-0.013"
"Bregman, Alex","608324","2023","0.804",".270","-0.004",".011",".000"
"Gallo, Joey","608336","2023","0.741",".244",".028",".041",".025"
"Seager, Corey","608369","2023","1.013",".340",".013",".011",".007"
"Meneses, Joey","608841","2023","0.722",".329",".028",".040",".026"
"Swanson, Dansby","621020","2023","0.744",".297","-0.011","-0.042","-0.020"
"Taylor, Chris","621035","2023","0.746",".327",".015",".018",".011"
"Correa, Carlos","621043","2023","0.711",".272","-0.023","-0.022","-0.021"
"Buxton, Byron","621439","2023","0.732",".253","-0.005",".013","-0.005"
"Ward, Taylor","621493","2023","0.756",".284","-0.001","-0.009","-0.009"
"Wisdom, Patrick","621550","2023","0.789",".237","-0.013",".002","-0.006"
"Wendle, Joey","621563","2023","0.554",".264","-0.021","-0.020","-0.021"
"Olson, Matt","621566","2023","0.993",".302",".019",".046",".021"
"Margot, Manuel","622534","2023","0.686",".306",".002",".008","-0.002"
"Mateo, Jorge","622761","2023","0.607",".267","-0.023","-0.031","-0.024"
"Ramírez, Harold","623912","2023","0.813",".359",".042",".047",".030"
"Santander, Anthony","623993","2023","0.797",".299",".020",".046",".021"
"Alonso, Pete","624413","2023","0.822",".205","-0.029","-0.023","-0.022"
"Biggio, Cavan","624415","2023","0.710",".304",".009",".000",".004"
"Conforto, Michael","624424","2023","0.718",".284","-0.006","-0.032","-0.015"
"Frazier, Adam","624428","2023","0.696",".258","-0.021",".035",".001"
"Soler, Jorge","624585","2023","0.853",".272","-0.012","-0.020","-0.013"
"Sosa, Edmundo","624641","2023","0.720",".306",".013",".035",".017"
"Ibáñez, Andy","628451","2023","0.745",".300","-0.007","-0.013","-0.011"
"Cronenworth, Jake","630105","2023","0.690",".267","-0.009",".008","-0.004"
"Anderson, Tim","641313","2023","0.582",".323","-0.007","-0.039","-0.019"
"Bellinger, Cody","641355","2023","0.881",".319",".039",".091",".043"
"Crawford, J.P.","641487","2023","0.818",".314",".006",".054",".019"
"Fraley, Jake","641584","2023","0.782",".283","-0.005",".041",".010"
"Garver, Mitch","641598","2023","0.870",".313",".015",".007",".009"
"Heim, Jonah","641680","2023","0.755",".289",".002",".003",".000"
"McMahon, Ryan","641857","2023","0.753",".326","-0.005","-0.014","-0.010"
"Smith, Dominic","642086","2023","0.692",".286","-0.002","-0.031","-0.014"
"Tellez, Rowdy","642133","2023","0.667",".249","-0.023",".002","-0.018"
"Thaiss, Matt","642136","2023","0.659",".272","-0.018","-0.068","-0.036"
"Siri, Jose","642350","2023","0.761",".269",".010",".052",".021"
"Rosario, Amed","642708","2023","0.683",".314","-0.008","-0.002","-0.008"
"Adames, Willy","642715","2023","0.717",".259","-0.023","-0.029","-0.024"
"Estrada, Thairo","642731","2023","0.731",".331",".023",".045",".024"
"Benintendi, Andrew","643217","2023","0.682",".301","-0.008","-0.019","-0.011"
"Cooper, Garrett","643265","2023","0.723",".324","-0.001","-0.011","-0.005"
"Dubón, Mauricio","643289","2023","0.720",".308",".003",".022",".008"
"Jansen, Danny","643376","2023","0.786",".233",".009",".053",".020"
"Kemp, Tony","643393","2023","0.607",".221","-0.032","-0.017","-0.021"
"Kiner-Falefa, Isiah","643396","2023","0.646",".289","-0.012","-0.008","-0.009"
"McNeil, Jeff","643446","2023","0.711",".288",".019",".038",".020"
"Tauchman, Mike","643565","2023","0.739",".313","-0.015","-0.023","-0.015"
"Albies, Ozzie","645277","2023","0.849",".289",".014",".046",".018"
"Devers, Rafael","646240","2023","0.851",".292","-0.011","-0.039","-0.021"
"Naylor, Josh","647304","2023","0.843",".326",".015",".011",".008"
"Díaz, Aledmys","649557","2023","0.617",".273","-0.006",".010","-0.003"
"Arraez, Luis","650333","2023","0.862",".362",".025",".011",".015"
"Jiménez, Eloy","650391","2023","0.758",".305",".014",".015",".011"
"Torres, Gleyber","650402","2023","0.800",".288","-0.009","-0.025","-0.016"
"Castro, Willi","650489","2023","0.750",".328",".026",".050",".026"
"Díaz, Yandy","650490","2023","0.932",".367",".025",".035",".019"
"De La Cruz, Bryan","650559","2023","0.715",".307","-0.016","-0.034","-0.022"
"Rengifo, Luis","650859","2023","0.783",".293",".018",".041",".016"
"Monasterio, Andruw","655316","2023","0.678",".326",".011","-0.025","-0.006"
"Chapman, Matt","656305","2023","0.754",".319",".010","-0.033","-0.009"
"Joe, Connor","656582","2023","0.760",".311","-0.001",".017",".003"
"McKinstry, Zach","656716","2023","0.653",".284","-0.016","-0.044","-0.023"
"Mullins II, Cedric","656775","2023","0.721",".271",".006",".060",".020"
"O'Hearn, Ryan","656811","2023","0.802",".340",".025",".016",".015"
"Schwarber, Kyle","656941","2023","0.817",".209","-0.023","-0.011","-0.014"
"Thomas, Lane","657041","2023","0.783",".325",".013",".032",".015"
"Verdugo, Alex","657077","2023","0.745",".294","-0.014",".004","-0.009"
"Wong, Connor","657136","2023","0.672",".341",".024",".024",".018"
"DeJong, Paul","657557","2023","0.613",".264","-0.012","-0.006","-0.012"
"Laureano, Ramón","657656","2023","0.675",".301","-0.008","-0.008","-0.009"
"Sheets, Gavin","657757","2023","0.598",".222","-0.007","-0.008","-0.006"
"Olivares, Edward","658668","2023","0.769",".289","-0.007","-0.004","-0.009"
"Moncada, Yoán","660162","2023","0.730",".350",".003","-0.001",".001"
"Ohtani, Shohei","660271","2023","1.066",".342",".009",".016",".006"
"Acuña Jr., Ronald","660670","2023","1.012",".338","-0.020","-0.064","-0.032"
"Ruiz, Keibert","660688","2023","0.717",".263","-0.014","-0.016","-0.012"
"Montero, Elehuris","660707","2023","0.716",".352",".042",".111",".052"
"Sánchez, Jesús","660821","2023","0.777",".321","-0.012","-0.023","-0.016"
"Contreras, William","661388","2023","0.824",".348",".034",".024",".022"
"Varsho, Daulton","662139","2023","0.674",".256","-0.012","-0.005","-0.009"
"Nootbaar, Lars","663457","2023","0.785",".307","-0.004","-0.018","-0.012"
"Hoerner, Nico","663538","2023","0.729",".312",".010",".027",".011"
"Riley, Austin","663586","2023","0.861",".324",".008",".000","-0.002"
"Mountcastle, Ryan","663624","2023","0.780",".315","-0.003","-0.051","-0.023"
"Hayes, Ke'Bryan","663647","2023","0.762",".315",".001",".017",".003"
"Tucker, Kyle","663656","2023","0.886",".289","-0.008","-0.013","-0.014"
"India, Jonathan","663697","2023","0.745",".281","-0.008","-0.017","-0.012"
"Raleigh, Cal","663728","2023","0.762",".273","-0.001","-0.010","-0.004"
"Fortes, Nick","663743","2023","0.562",".234","-0.006","-0.025","-0.011"
"Grisham, Trent","663757","2023","0.667",".264","-0.020","-0.044","-0.023"
"Vierling, Matt","663837","2023","0.717",".321","-0.005","-0.008","-0.007"
"Stephenson, Tyler","663886","2023","0.695",".314",".000","-0.019","-0.009"
"Lowe, Nathaniel","663993","2023","0.774",".329","-0.001",".008",".001"
"Happ, Ian","664023","2023","0.791",".299","-0.006",".004","-0.005"
"France, Ty","664034","2023","0.703",".294","-0.020","-0.054","-0.027"
"Lowe, Brandon","664040","2023","0.771",".275","-0.004","-0.006","-0.007"
"Bader, Harrison","664056","2023","0.622",".261","-0.002","-0.027","-0.017"
"Straw, Myles","664702","2023","0.598",".295","-0.001","-0.003","-0.004"
"Isbel, Kyle","664728","2023","0.662",".283","-0.007",".005","-0.003"
"Bohm, Alec","664761","2023","0.764",".296","-0.016","-0.016","-0.014"
"Wade Jr., LaMonte","664774","2023","0.790",".290","-0.005","-0.033","-0.013"
"Brown, Seth","664913","2023","0.691",".270","-0.015","-0.046","-0.024"
"McCarthy, Jake","664983","2023","0.644",".305",".001","-0.005","-0.004"
"Peña, Jeremy","665161","2023","0.705",".323","-0.002",".005",".000"
"Tatis Jr., Fernando","665487","2023","0.771",".299","-0.024","-0.059","-0.032"
"Guerrero Jr., Vladimir","665489","2023","0.789",".277","-0.035","-0.059","-0.038"
"Soto, Juan","665742","2023","0.929",".296","-0.009","-0.019","-0.013"
"Taveras, Leody","665750","2023","0.733",".318","-0.004",".014","-0.003"
"Cabrera, Oswaldo","665828","2023","0.574",".260",".000","-0.010","-0.003"
"Chisholm Jr., Jazz","665862","2023","0.761",".318",".026",".026",".018"
"Ruiz, Esteury","665923","2023","0.654",".315",".020",".029",".019"
"Giménez, Andrés","665926","2023","0.713",".289",".006",".032",".012"
"Jones, Nolan","666134","2023","0.931",".401",".048",".043",".033"
"Kirilloff, Alex","666135","2023","0.793",".337",".009",".020",".009"
"Lowe, Josh","666139","2023","0.835",".357",".016",".020",".013"
"Moniak, Mickey","666160","2023","0.802",".397",".032",".045",".031"
"Sabol, Blake","666165","2023","0.695",".330",".036",".025",".023"
"Benson, Will","666181","2023","0.863",".391",".045",".100",".048"
"Bichette, Bo","666182","2023","0.814",".355","-0.006","-0.027","-0.014"
"Julien, Edouard","666397","2023","0.840",".371",".030",".032",".021"
"Morel, Christopher","666624","2023","0.821",".303",".003",".023",".007"
"García, Adolis","666969","2023","0.836",".280","-0.005","-0.018","-0.012"
"Gurriel Jr., Lourdes","666971","2023","0.772",".282","-0.003",".024",".005"
"Julks, Corey","667452","2023","0.649",".306","-0.003","-0.021","-0.009"
"Rooker Jr., Brent","667670","2023","0.817",".317",".009",".010",".005"
"Arozarena, Randy","668227","2023","0.789",".310",".011","-0.010","-0.004"
"Pratto, Nick","668472","2023","0.660",".388",".023",".014",".014"
"Rogers, Jake","668670","2023","0.730",".268","-0.006","-0.005","-0.009"
"Bleday, JJ","668709","2023","0.665",".226","-0.009",".003","-0.003"
"Steer, Spencer","668715","2023","0.820",".318",".019",".047",".022"
"Baddoo, Akil","668731","2023","0.682",".268",".000",".001","-0.002"
"Reynolds, Bryan","668804","2023","0.790",".304","-0.017","-0.030","-0.022"
"Turang, Brice","668930","2023","0.585",".268","-0.006","-0.021","-0.012"
"Rutschman, Adley","668939","2023","0.809",".303","-0.015","-0.034","-0.021"
"Rojas, Josh","668942","2023","0.641",".313",".015",".007",".006"
"Melendez Jr., MJ","669004","2023","0.714",".311",".000","-0.034","-0.015"
"Marsh, Brandon","669016","2023","0.830",".397",".043",".067",".036"
"Langeliers, Shea","669127","2023","0.681",".246","-0.006","-0.010","-0.007"
"Murphy, Sean","669221","2023","0.843",".286","-0.023","-0.059","-0.029"
"Senzel, Nick","669222","2023","0.696",".269","-0.009",".032",".006"
"Edman, Tommy","669242","2023","0.706",".275","-0.014",".009","-0.006"
"Smith, Will","669257","2023","0.797",".277","-0.001",".003","-0.007"
"Suwinski, Jack","669261","2023","0.793",".290",".006","-0.007","-0.005"
"Gorman, Nolan","669357","2023","0.806",".296","-0.001","-0.020","-0.009"
"Burger, Jake","669394","2023","0.827",".284","-0.020",".006","-0.010"
"Allen, Nick","669397","2023","0.550",".253",".000","-0.001","-0.005"
"Hays, Austin","669720","2023","0.769",".345",".033",".024",".021"
"Call, Alex","669743","2023","0.614",".230","-0.014","-0.028","-0.016"
"Raley, Luke","670042","2023","0.823",".330",".024",".053",".026"
"Alvarez, Yordan","670541","2023","0.990",".306","-0.004","-0.040","-0.020"
"Paredes, Isaac","670623","2023","0.840",".257",".020",".119",".047"
"Walls, Taylor","670764","2023","0.638",".261",".001",".038",".013"
"Friedl Jr., TJ","670770","2023","0.819",".308",".039",".146",".064"
"Casas, Triston","671213","2023","0.857",".317",".010","-0.010","-0.003"
"Waters, Drew","671221","2023","0.677",".321","-0.007","-0.035","-0.017"
"García, Luis","671277","2023","0.689",".286",".003","-0.019","-0.011"
"Harris II, Michael","671739","2023","0.808",".334","-0.011","-0.013","-0.012"
"Bailey, Patrick","672275","2023","0.644",".314","-0.016","-0.061","-0.031"
"Kelenic, Jarred","672284","2023","0.746",".359","-0.011","-0.016","-0.012"
"Arias, Gabriel","672356","2023","0.627",".290","-0.020","-0.055","-0.028"
"Kirk, Alejandro","672386","2023","0.692",".265","-0.006","-0.028","-0.012"
"Moreno, Gabriel","672515","2023","0.747",".338",".018",".021",".011"
"Garcia, Maikel","672580","2023","0.681",".344","-0.002","-0.035","-0.020"
"Perdomo, Geraldo","672695","2023","0.712",".295",".042",".087",".044"
"Diaz, Yainer","673237","2023","0.846",".292","-0.003","-0.001","-0.003"
"Robert Jr., Luis","673357","2023","0.857",".314",".005",".027",".011"
"Kim, Ha-Seong","673490","2023","0.749",".306",".015",".039",".017"
"Suzuki, Seiya","673548","2023","0.842",".341",".002",".016",".001"
"Jung, Josh","673962","2023","0.782",".340",".006","-0.015","-0.003"
"Noda, Ryan","676116","2023","0.770",".347",".016",".014",".008"
"Burleson, Alec","676475","2023","0.690",".261","-0.033","-0.059","-0.037"
"Meyers, Jake","676694","2023","0.678",".283",".014",".025",".014"
"McCormick, Chas","676801","2023","0.842",".331",".027",".032",".021"
"Franco, Wander","677551","2023","0.819",".297","-0.019","-0.009","-0.015"
"Rodríguez, Julio","677594","2023","0.818",".330",".001",".010",".002"
"Duran, Ezequiel","677649","2023","0.767",".358",".020",".009",".011"
"Thomas, Alek","677950","2023","0.647",".273","-0.021",".001","-0.013"
"Witt Jr., Bobby","677951","2023","0.814",".295","-0.018","-0.038","-0.026"
"Bae, Ji Hwan","678225","2023","0.607",".310",".009",".018",".008"
"Vargas, Miguel","678246","2023","0.672",".224","-0.015",".014","-0.009"
"Tovar, Ezequiel","678662","2023","0.695",".328",".005",".022",".007"
"Torkelson, Spencer","679529","2023","0.759",".269","-0.018","-0.038","-0.023"
"McLain, Matt","680574","2023","0.864",".385",".034",".071",".038"
"Kwan, Steven","680757","2023","0.710",".294","-0.014",".012","-0.004"
"Duran, Jarren","680776","2023","0.828",".381",".024",".077",".031"
"Jeffers, Ryan","680777","2023","0.859",".359",".043",".058",".036"
"Gelof, Zack","680869","2023","0.841",".331",".014",".056",".024"
"Miller, Owen","680911","2023","0.674",".310",".009",".012",".004"
"Donovan, Brendan","680977","2023","0.787",".311","-0.003","-0.016","-0.009"
"Stott, Bryson","681082","2023","0.748",".312",".013",".033",".014"
"Carpenter, Kerry","681481","2023","0.811",".338",".020",".011",".011"
"Outman, James","681546","2023","0.790",".343",".020",".041",".019"
"Alvarez, Francisco","682626","2023","0.721",".222",".000",".015",".005"
"De La Cruz, Elly","682829","2023","0.710",".336","-0.005",".019",".002"
"Abrams, CJ","682928","2023","0.712",".279","-0.002",".013",".002"
"Greene, Riley","682985","2023","0.796",".384","-0.001","-0.052","-0.021"
"Carroll, Corbin","682998","2023","0.868",".325",".017",".065",".026"
"Henderson, Gunnar","683002","2023","0.814",".306","-0.006",".017",".000"
"Volpe, Anthony","683011","2023","0.666",".259","-0.024","-0.013","-0.018"
"Baty, Brett","683146","2023","0.598",".280","-0.025","-0.059","-0.034"
"Vaughn, Andrew","683734","2023","0.743",".299",".006",".002",".002"
"Doyle, Brenton","686668","2023","0.593",".295",".003","-0.001","-0.001"
"Massey, Michael","686681","2023","0.655",".261","-0.031","-0.051","-0.036"
"Brennan, Will","686823","2023","0.655",".296","-0.020","-0.022","-0.020"
"Wiemer Jr., Joey","686894","2023","0.645",".258","-0.005","-0.008","-0.005"
"Neto, Zach","687263","2023","0.685",".272","-0.001","-0.026","-0.010"
"Walker, Jordan","691023","2023","0.787",".331",".009",".019",".009"
"Yoshida, Masataka","807799","2023","0.783",".316",".016",".020",".014"
"Blackmon, Charlie","453568","2024","0.741",".293",".007",".047",".017"
"Solano, Donovan","456781","2024","0.760",".346",".029",".039",".026"
"McCutchen, Andrew","457705","2024","0.739",".283",".005","-0.010","-0.002"
"Turner, Justin","457759","2024","0.737",".299",".007",".000","-0.001"
"Santana, Carlos","467793","2024","0.748",".252","-0.008",".005","-0.004"
"Rojas, Miguel","500743","2024","0.747",".301",".000",".045",".013"
